Team,Tournament,Goals,Shots pg,Possession%,Pass%,AerialsWon,Rating,Yellow Cards,Red Cards
Paris Saint-Germain,Ligue 1,44,19,69.6,91.1,8,7.02,20,0
Bayern Munich,Bundesliga,47,19.3,72.3,90.3,11.9,6.99,23,0
Liverpool,Premier League,47,16.6,56.9,86.4,10.9,6.89,41,1
Real Madrid,LaLiga,43,15.2,60.6,89.5,8.4,6.87,32,2
Inter,Serie A,45,15.9,60.3,88.9,15.3,6.84,26,0
Barcelona,LaLiga,51,16.8,67.2,87.9,9.2,6.83,31,2
Arsenal,Premier League,39,13.8,55.4,86.5,13.7,6.79,41,3
Bayer Leverkusen,Bundesliga,40,16.4,60.5,88.1,12.8,6.77,27,0
Eintracht Frankfurt,Bundesliga,35,15.3,48.2,83.4,14.1,6.77,23,1
Napoli,Serie A,30,14,52.5,86.4,13.7,6.77,23,0
Atalanta,Serie A,43,15.5,56.5,85.9,15.3,6.77,34,0
Nice,Ligue 1,31,13.9,47.5,84.0,11.8,6.76,31,2
Monaco,Ligue 1,28,14.4,56.2,82.7,13.1,6.75,29,3
Chelsea,Premier League,39,15.8,58.3,87.0,9.8,6.74,58,1
Newcastle,Premier League,34,14.1,50.9,83.6,12.5,6.73,43,1
Tottenham,Premier League,42,14.9,57.8,85.7,11,6.73,40,1
Atletico Madrid,LaLiga,33,11.9,51.6,83.9,12.9,6.73,39,1
Manchester City,Premier League,36,17.1,61.4,90.3,8,6.73,40,1
Mainz 05,Bundesliga,28,12.5,47.4,77.7,17.5,6.73,32,3
Nottingham Forest,Premier League,29,12.9,39.5,78.5,15.1,6.72,45,2
